STATION,STATION_NAME,elev_m,lat_dd,lon_dd,date,MDPR,Source Flag,Time of Observation,DAPR,Source Flag,Time of Observation,PRCP,Measurement Flag,Source Flag,Time of Observation,TMAX,Quality Flag,Source Flag,Time of Observation,TMIN,Quality Flag,Source Flag,Time of Observation
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031208,-9999, ,9999,-9999, ,9999,0, ,0,1600,156, ,0,1600,6, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031209,-9999, ,9999,-9999, ,9999,33, ,0,1600,94,I,0,1600,39, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031210,-9999, ,9999,-9999, ,9999,130, ,0,1600,150, ,0,1600,78, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031211,-9999, ,9999,-9999, ,9999,41, ,0,1600,139, ,0,1600,44, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031212,-9999, ,9999,-9999, ,9999,127, ,0,1600,94,I,0,1600,33, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031213,-9999, ,9999,-9999, ,9999,114, ,0,1600,150, ,0,1600,89, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031214,-9999, ,9999,-9999, ,9999,89, ,0,1600,139, ,0,1600,72, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031215,-9999, ,9999,-9999, ,9999,0, ,0,1600,133, ,0,1600,-6, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031216,-9999, ,9999,-9999, ,9999,0, ,0,1600,139, ,0,1600,-6, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031217,-9999, ,9999,-9999, ,9999,0, ,0,1600,133, ,0,1600,0, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031218,-9999, ,9999,-9999, ,9999,0, ,0,1600,156, ,0,1600,6, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031219,-9999, ,9999,-9999, ,9999,30, ,0,1600,89,I,0,1600,50, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031220,-9999, ,9999,-9999, ,9999,114, ,0,1600,117, ,0,1600,78, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031221,-9999, ,9999,-9999, ,9999,46, ,0,1600,150, ,0,1600,89, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031222,-9999, ,9999,-9999, ,9999,0, ,0,1600,133, ,0,1600,28, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031223,-9999, ,9999,-9999, ,9999,76, ,0,1600,133, ,0,1600,28, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031224,-9999, ,9999,-9999, ,9999,183, ,0,1600,133, ,0,1600,111, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031225,-9999, ,9999,-9999, ,9999,0, ,0,1600,-9999, , ,9999,-9999, , ,9999
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031226,-9999, ,9999,-9999, ,9999,20, ,0,1600,111, ,0,1600,28, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031227,-9999, ,9999,-9999, ,9999,0, ,0,1600,100, ,0,1600,-28, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031228,-9999, ,9999,-9999, ,9999,0, ,0,1600,89,I,0,1600,-33, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031229,-9999, ,9999,-9999, ,9999,323, ,0,1600,100, ,0,1600,56, ,0,1600
