#,date,daily_events,in,mm
1,5/5/2011,1,0.01,0.2
2,5/6/2011,0,0,0
3,5/7/2011,0,0,0
4,5/8/2011,0,0,0
5,5/9/2011,0,0,0
6,5/10/2011,0,0,0
7,5/11/2011,0,0,0
8,5/12/2011,0,0,0
9,5/13/2011,0,0,0
10,5/14/2011,0,0,0
11,5/15/2011,34,0.34,6.8
12,5/16/2011,41,0.41,8.2
13,5/17/2011,83,0.83,16.6
14,5/18/2011,3,0.03,0.6
15,5/19/2011,0,0,0
16,5/20/2011,0,0,0
17,5/21/2011,0,0,0
18,5/22/2011,0,0,0
19,5/23/2011,0,0,0
20,5/24/2011,0,0,0
21,5/25/2011,37,0.37,7.4
22,5/26/2011,0,0,0
23,5/27/2011,3,0.03,0.6
24,5/28/2011,14,0.14,2.8
25,5/29/2011,0,0,0
26,5/30/2011,0,0,0
27,5/31/2011,15,0.15,3
28,6/1/2011,10,0.1,2
29,6/2/2011,1,0.01,0.2
30,6/3/2011,2,0.02,0.4
31,6/4/2011,104,1.04,20.8
32,6/5/2011,18,0.18,3.6
33,6/6/2011,0,0,0
34,6/7/2011,0,0,0
35,6/8/2011,0,0,0
36,6/9/2011,0,0,0
37,6/10/2011,0,0,0
38,6/11/2011,0,0,0
39,6/12/2011,0,0,0
40,6/13/2011,0,0,0
41,6/14/2011,0,0,0
42,6/15/2011,0,0,0
43,6/16/2011,0,0,0
44,6/17/2011,0,0,0
45,6/18/2011,0,0,0
46,6/19/2011,0,0,0
47,6/20/2011,0,0,0
48,6/21/2011,0,0,0
49,6/22/2011,0,0,0
50,6/23/2011,0,0,0
51,6/24/2011,0,0,0
52,6/25/2011,0,0,0
53,6/26/2011,0,0,0
54,6/27/2011,0,0,0
55,6/28/2011,85,0.85,17
56,6/29/2011,0,0,0
57,6/30/2011,0,0,0
58,7/1/2011,0,0,0
59,7/2/2011,0,0,0
60,7/3/2011,0,0,0
61,7/4/2011,0,0,0
62,7/5/2011,0,0,0
63,7/6/2011,0,0,0
64,7/7/2011,0,0,0
65,7/8/2011,0,0,0
66,7/9/2011,0,0,0
67,7/10/2011,0,0,0
68,7/11/2011,0,0,0
69,7/12/2011,0,0,0
70,7/13/2011,0,0,0
71,7/14/2011,0,0,0
72,7/15/2011,0,0,0
73,7/16/2011,0,0,0
74,7/17/2011,0,0,0
75,7/18/2011,0,0,0
76,7/19/2011,0,0,0
77,7/20/2011,0,0,0
78,7/21/2011,0,0,0
79,7/22/2011,0,0,0
80,7/23/2011,0,0,0
81,7/24/2011,0,0,0
82,7/25/2011,0,0,0
83,7/26/2011,0,0,0
84,7/27/2011,0,0,0
85,7/28/2011,0,0,0
86,7/29/2011,0,0,0
87,7/30/2011,0,0,0
88,7/31/2011,0,0,0
89,8/1/2011,0,0,0
90,8/2/2011,0,0,0
91,8/3/2011,0,0,0
92,8/4/2011,0,0,0
93,8/5/2011,0,0,0
94,8/6/2011,0,0,0
95,8/7/2011,0,0,0
96,8/8/2011,0,0,0
97,8/9/2011,0,0,0
98,8/10/2011,0,0,0
99,8/11/2011,0,0,0
100,8/12/2011,0,0,0
101,8/13/2011,0,0,0
102,8/14/2011,0,0,0
103,8/15/2011,0,0,0
104,8/16/2011,0,0,0
105,8/17/2011,0,0,0
106,8/18/2011,0,0,0
107,8/19/2011,0,0,0
108,8/20/2011,0,0,0
109,8/21/2011,0,0,0
110,8/22/2011,0,0,0
111,8/23/2011,0,0,0
112,8/24/2011,0,0,0
113,8/25/2011,0,0,0
114,8/26/2011,0,0,0
115,8/27/2011,0,0,0
116,8/28/2011,0,0,0
117,8/29/2011,0,0,0
118,8/30/2011,0,0,0
119,8/31/2011,0,0,0
120,9/1/2011,0,0,0
121,9/2/2011,0,0,0
122,9/3/2011,0,0,0
123,9/4/2011,0,0,0
124,9/5/2011,0,0,0
125,9/6/2011,0,0,0
126,9/7/2011,0,0,0
127,9/8/2011,0,0,0
128,9/9/2011,0,0,0
129,9/10/2011,0,0,0
130,9/11/2011,0,0,0
131,9/12/2011,0,0,0
132,9/13/2011,0,0,0
133,9/14/2011,0,0,0
134,9/15/2011,0,0,0
135,9/16/2011,0,0,0
136,9/17/2011,0,0,0
137,9/18/2011,0,0,0
138,9/19/2011,0,0,0
139,9/20/2011,0,0,0
140,9/21/2011,0,0,0
141,9/22/2011,0,0,0
142,9/23/2011,0,0,0
143,9/24/2011,0,0,0
144,9/25/2011,0,0,0
145,9/26/2011,0,0,0
146,9/27/2011,0,0,0
147,9/28/2011,0,0,0
148,9/29/2011,0,0,0
149,9/30/2011,0,0,0
150,10/1/2011,0,0,0
151,10/2/2011,0,0,0
152,10/3/2011,34,0.34,6.8
153,10/4/2011,24,0.24,4.8
154,10/5/2011,18,0.18,3.6
155,10/6/2011,2,0.02,0.4
156,10/7/2011,2,0.02,0.4
157,10/8/2011,1,0.01,0.2
158,10/9/2011,0,0,0
159,10/10/2011,1,0.01,0.2
160,10/11/2011,2,0.02,0.4
161,10/12/2011,0,0,0
162,10/13/2011,0,0,0
163,10/14/2011,0,0,0
164,10/15/2011,1,0.01,0.2
165,10/16/2011,0,0,0
166,10/17/2011,1,0.01,0.2
167,10/18/2011,0,0,0
168,10/19/2011,0,0,0
169,10/20/2011,0,0,0
170,10/21/2011,0,0,0
171,10/22/2011,1,0.01,0.2
172,10/23/2011,0,0,0
173,10/24/2011,0,0,0
174,10/25/2011,0,0,0
175,10/26/2011,0,0,0
176,10/27/2011,0,0,0
177,10/28/2011,0,0,0
178,10/29/2011,1,0.01,0.2
179,10/30/2011,0,0,0
180,10/31/2011,0,0,0
181,11/1/2011,0,0,0
182,11/2/2011,0,0,0
183,11/3/2011,0,0,0
184,11/4/2011,0,0,0
185,11/5/2011,31,0.31,6.2
186,11/6/2011,14,0.14,2.8
187,11/7/2011,0,0,0
188,11/8/2011,0,0,0
189,11/9/2011,0,0,0
190,11/10/2011,0,0,0
191,11/11/2011,3,0.03,0.6
192,11/12/2011,2,0.02,0.4
193,11/13/2011,0,0,0
194,11/14/2011,0,0,0
195,11/15/2011,0,0,0
196,11/16/2011,0,0,0
197,11/17/2011,0,0,0
198,11/18/2011,8,0.08,1.6
199,11/19/2011,0,0,0
200,11/20/2011,7,0.07,1.4
201,11/21/2011,0,0,0
202,11/22/2011,1,0.01,0.2
203,11/23/2011,0,0,0
204,11/24/2011,4,0.04,0.8
205,11/25/2011,2,0.02,0.4
206,11/26/2011,0,0,0
207,11/27/2011,0,0,0
208,11/28/2011,1,0.01,0.2
209,11/29/2011,0,0,0
210,11/30/2011,0,0,0
211,12/1/2011,0,0,0
212,12/2/2011,1,0.01,0.2
213,12/3/2011,0,0,0
214,12/4/2011,0,0,0
215,12/5/2011,0,0,0
216,12/6/2011,8,0.08,1.6
217,12/7/2011,19,0.19,3.8
218,12/8/2011,4,0.04,0.8
219,12/9/2011,0,0,0
220,12/10/2011,0,0,0
221,12/11/2011,0,0,0
222,12/12/2011,1,0.01,0.2
223,12/13/2011,0,0,0
224,12/14/2011,0,0,0
225,12/15/2011,0,0,0
226,12/16/2011,1,0.01,0.2
227,12/17/2011,0,0,0
228,12/18/2011,5,0.05,1
229,12/19/2011,0,0,0
230,12/20/2011,0,0,0
231,12/21/2011,0,0,0
232,12/22/2011,0,0,0
233,12/23/2011,0,0,0
234,12/24/2011,0,0,0
235,12/25/2011,0,0,0
236,12/26/2011,0,0,0
237,12/27/2011,0,0,0
238,12/28/2011,0,0,0
239,12/29/2011,0,0,0
240,12/30/2011,0,0,0
241,12/31/2011,0,0,0
242,1/1/2012,0,0,0
243,1/2/2012,0,0,0
244,1/3/2012,0,0,0
245,1/4/2012,0,0,0
246,1/5/2012,0,0,0
247,1/6/2012,0,0,0
248,1/7/2012,0,0,0
249,1/8/2012,0,0,0
250,1/9/2012,0,0,0
251,1/10/2012,0,0,0
252,1/11/2012,0,0,0
253,1/12/2012,0,0,0
254,1/13/2012,0,0,0
255,1/14/2012,0,0,0
256,1/15/2012,0,0,0
257,1/16/2012,0,0,0
258,1/17/2012,0,0,0
259,1/18/2012,0,0,0
260,1/19/2012,37,0.37,7.4
261,1/20/2012,84,0.84,16.8
262,1/21/2012,53,0.53,10.6
263,1/22/2012,6,0.06,1.2
264,1/23/2012,2,0.02,0.4
265,1/24/2012,2,0.02,0.4
266,1/25/2012,0,0,0
267,1/26/2012,1,0.01,0.2
268,1/27/2012,1,0.01,0.2
269,1/28/2012,4,0.04,0.8
270,1/29/2012,3,0.03,0.6
271,1/30/2012,1,0.01,0.2
272,1/31/2012,0,0,0
273,2/1/2012,0,0,0
274,2/2/2012,0,0,0
275,2/3/2012,0,0,0
276,2/4/2012,1,0.01,0.2
277,2/5/2012,0,0,0
278,2/6/2012,0,0,0
279,2/7/2012,0,0,0
280,2/8/2012,1,0.01,0.2
281,2/9/2012,0,0,0
282,2/10/2012,0,0,0
283,2/11/2012,0,0,0
284,2/12/2012,0,0,0
285,2/13/2012,0,0,0
286,2/14/2012,0,0,0
287,2/15/2012,0,0,0
288,2/16/2012,0,0,0
289,2/17/2012,0,0,0
290,2/18/2012,0,0,0
291,2/19/2012,0,0,0
292,2/20/2012,0,0,0
293,2/21/2012,0,0,0
294,2/22/2012,0,0,0
295,2/23/2012,0,0,0
296,2/24/2012,0,0,0
297,2/25/2012,0,0,0
298,2/26/2012,0,0,0
299,2/27/2012,0,0,0
300,2/28/2012,0,0,0
301,2/29/2012,62,0.62,12.4
302,3/1/2012,4,0.04,0.8
303,3/2/2012,2,0.02,0.4
304,3/3/2012,1,0.01,0.2
305,3/4/2012,1,0.01,0.2
306,3/5/2012,1,0.01,0.2
307,3/6/2012,0,0,0
308,3/7/2012,0,0,0
309,3/8/2012,7,0.07,1.4
310,3/9/2012,0,0,0
311,3/10/2012,0,0,0
312,3/11/2012,1,0.01,0.2
313,3/12/2012,0,0,0
314,3/13/2012,135,1.35,27
315,3/14/2012,32,0.32,6.4
316,3/15/2012,4,0.04,0.8
317,3/16/2012,1,0.01,0.2
318,3/17/2012,0,0,0
319,3/18/2012,1,0.01,0.2
320,3/19/2012,0,0,0
321,3/20/2012,0,0,0
322,3/21/2012,0,0,0
323,3/22/2012,1,0.01,0.2
324,3/23/2012,0,0,0
325,3/24/2012,0,0,0
326,3/25/2012,0,0,0
327,3/26/2012,0,0,0
328,3/27/2012,1,0.01,0.2
329,3/28/2012,0,0,0
330,3/29/2012,0,0,0
331,3/30/2012,0,0,0
332,3/31/2012,0,0,0
333,4/1/2012,0,0,0
334,4/2/2012,0,0,0
335,4/3/2012,0,0,0
336,4/4/2012,0,0,0
337,4/5/2012,0,0,0
338,4/6/2012,0,0,0
339,4/7/2012,0,0,0
340,4/8/2012,0,0,0
341,4/9/2012,0,0,0
342,4/10/2012,0,0,0
343,4/11/2012,0,0,0
344,4/12/2012,0,0,0
345,4/13/2012,0,0,0
346,4/14/2012,0,0,0
347,4/15/2012,0,0,0
348,4/16/2012,0,0,0
349,4/17/2012,0,0,0
350,4/18/2012,0,0,0
351,4/19/2012,0,0,0
352,4/20/2012,0,0,0
353,4/21/2012,0,0,0
354,4/22/2012,0,0,0
355,4/23/2012,0,0,0
356,4/24/2012,0,0,0
357,4/25/2012,0,0,0
358,4/26/2012,0,0,0
