"","id","date","time","events"
"1","mitsui","12/7/2004","11:35:53",123510
"2","mitsui","12/7/2004","57:50.5",123511
"3","mitsui","12/7/2004","17:23.5",123512
"4","mitsui","12/7/2004","40:44.5",123513
"5","mitsui","12/7/2004","56:13.5",123514
"6","mitsui","12/7/2004","20:25:46",123515
"7","mitsui","12/7/2004","38:48.5",123516
"8","mitsui","12/7/2004","48:24.5",123517
"9","mitsui","12/7/2004","20:59:06",123518
"10","mitsui","12/7/2004","08:46.5",123519
"11","mitsui","12/7/2004","21:14:41",123520
"12","mitsui","12/7/2004","21:27:42",123521
"13","mitsui","12/7/2004","21:41:27",123522
"14","mitsui","12/7/2004","21:52:05",123523
"15","mitsui","12/7/2004","21:59:41",123524
"16","mitsui","12/7/2004","22:06:20",123525
"17","mitsui","12/7/2004","22:10:08",123526
"18","mitsui","12/7/2004","22:14:23",123527
"19","mitsui","12/7/2004","17:37.5",123528
"20","mitsui","12/7/2004","22:19:34",123529
"21","mitsui","12/7/2004","22:21:38",123530
"22","mitsui","12/7/2004","23:51.5",123531
"23","mitsui","12/7/2004","26:36.5",123532
"24","mitsui","12/7/2004","22:28:29",123533
"25","mitsui","12/7/2004","29:47.5",123534
"26","mitsui","12/7/2004","22:32:06",123535
"27","mitsui","12/7/2004","34:15.5",123536
"28","mitsui","12/7/2004","22:37:51",123537
"29","mitsui","12/7/2004","42:31.5",123538
"30","mitsui","12/7/2004","48:06.5",123539
"31","mitsui","12/7/2004","22:53:02",123540
"32","mitsui","12/7/2004","22:58:59",123541
"33","mitsui","12/7/2004","23:04:20",123542
"34","mitsui","12/7/2004","08:57.5",123543
"35","mitsui","12/7/2004","12:14.5",123544
"36","mitsui","12/7/2004","15:53.5",123545
"37","mitsui","12/7/2004","19:34.5",123546
"38","mitsui","12/7/2004","24:51.5",123547
"39","mitsui","12/7/2004","28:20.5",123548
"40","mitsui","12/7/2004","33:37.5",123549
"41","mitsui","12/7/2004","38:56.5",123550
"42","mitsui","12/7/2004","43:54.5",123551
"43","mitsui","12/7/2004","23:48:33",123552
"44","mitsui","12/7/2004","23:51:37",123553
"45","mitsui","12/7/2004","23:54:36",123554
"46","mitsui","12/7/2004","57:36.5",123555
"47","mitsui","12/7/2004","59:24.5",123556
"48","mitsui","12/8/2004","0:02:41",123557
"49","mitsui","12/8/2004","0:07:04",123558
"50","mitsui","12/8/2004","09:40.5",123559
"51","mitsui","12/8/2004","12:54.5",123560
"52","mitsui","12/8/2004","16:08.5",123561
"53","mitsui","12/8/2004","18:56.5",123562
"54","mitsui","12/8/2004","22:03.5",123563
"55","mitsui","12/8/2004","0:25:22",123564
"56","mitsui","12/8/2004","29:02.5",123565
"57","mitsui","12/8/2004","31:05.5",123566
"58","mitsui","12/8/2004","33:51.5",123567
"59","mitsui","12/8/2004","0:36:03",123568
"60","mitsui","12/8/2004","0:37:41",123569
"61","mitsui","12/8/2004","0:38:58",123570
"62","mitsui","12/8/2004","0:41:44",123571
"63","mitsui","12/8/2004","44:05.5",123572
"64","mitsui","12/8/2004","46:28.5",123573
"65","mitsui","12/8/2004","0:48:48",123574
"66","mitsui","12/8/2004","0:51:10",123575
"67","mitsui","12/8/2004","0:52:35",123576
"68","mitsui","12/8/2004","53:51.5",123577
"69","mitsui","12/8/2004","55:29.5",123578
"70","mitsui","12/8/2004","0:57:35",123579
"71","mitsui","12/8/2004","59:43.5",123580
"72","mitsui","12/8/2004","01:45.5",123581
"73","mitsui","12/8/2004","1:04:27",123582
"74","mitsui","12/8/2004","1:06:04",123583
"75","mitsui","12/8/2004","1:07:24",123584
"76","mitsui","12/8/2004","1:09:10",123585
"77","mitsui","12/8/2004","1:10:26",123586
"78","mitsui","12/8/2004","1:12:03",123587
"79","mitsui","12/8/2004","1:13:25",123588
"80","mitsui","12/8/2004","1:15:10",123589
"81","mitsui","12/8/2004","1:17:24",123590
"82","mitsui","12/8/2004","20:22.5",123591
"83","mitsui","12/8/2004","22:30.5",123592
"84","mitsui","12/8/2004","24:32.5",123593
"85","mitsui","12/8/2004","1:27:15",123594
"86","mitsui","12/8/2004","1:30:05",123595
"87","mitsui","12/8/2004","32:22.5",123596
"88","mitsui","12/8/2004","1:35:28",123597
"89","mitsui","12/8/2004","1:37:35",123598
"90","mitsui","12/8/2004","1:41:48",123599
"91","mitsui","12/8/2004","1:44:54",123600
"92","mitsui","12/8/2004","46:20.5",123601
"93","mitsui","12/8/2004","47:45.5",123602
"94","mitsui","12/8/2004","50:01.5",123603
"95","mitsui","12/8/2004","51:34.5",123604
"96","mitsui","12/8/2004","53:48.5",123605
"97","mitsui","12/8/2004","1:56:02",123606
"98","mitsui","12/8/2004","1:59:24",123607
"99","mitsui","12/8/2004","2:02:03",123608
"100","mitsui","12/8/2004","04:30.5",123609
"101","mitsui","12/8/2004","2:06:02",123610
"102","mitsui","12/8/2004","2:07:44",123611
"103","mitsui","12/8/2004","09:24.5",123612
"104","mitsui","12/8/2004","2:12:35",123613
"105","mitsui","12/8/2004","14:15.5",123614
"106","mitsui","12/8/2004","16:43.5",123615
"107","mitsui","12/8/2004","19:08.5",123616
"108","mitsui","12/8/2004","2:22:18",123617
"109","mitsui","12/8/2004","24:34.5",123618
"110","mitsui","12/8/2004","29:07.5",123619
"111","mitsui","12/8/2004","2:32:59",123620
"112","mitsui","12/8/2004","2:36:16",123621
"113","mitsui","12/8/2004","38:33.5",123622
"114","mitsui","12/8/2004","40:38.5",123623
"115","mitsui","12/8/2004","2:44:05",123624
"116","mitsui","12/8/2004","49:28.5",123625
"117","mitsui","12/8/2004","54:00.5",123626
"118","mitsui","12/8/2004","57:02.5",123627
"119","mitsui","12/8/2004","3:01:44",123628
"120","mitsui","12/8/2004","05:46.5",123629
"121","mitsui","12/8/2004","10:10.5",123630
"122","mitsui","12/8/2004","19:34.5",123631
"123","mitsui","12/8/2004","3:23:26",123632
"124","mitsui","12/8/2004","29:09.5",123633
"125","mitsui","12/8/2004","3:33:25",123634
"126","mitsui","12/8/2004","40:07.5",123635
"127","mitsui","12/8/2004","3:45:15",123636
"128","mitsui","12/8/2004","48:41.5",123637
"129","mitsui","12/8/2004","52:20.5",123638
"130","mitsui","12/8/2004","3:54:33",123639
"131","mitsui","12/8/2004","3:57:50",123640
"132","mitsui","12/8/2004","01:54.5",123641
"133","mitsui","12/8/2004","4:06:00",123642
"134","mitsui","12/8/2004","10:57.5",123643
"135","mitsui","12/8/2004","17:04.5",123644
"136","mitsui","12/8/2004","4:25:18",123645
"137","mitsui","12/8/2004","4:30:46",123646
"138","mitsui","12/8/2004","34:20.5",123647
"139","mitsui","12/8/2004","37:49.5",123648
"140","mitsui","12/8/2004","41:37.5",123649
"141","mitsui","12/8/2004","45:11.5",123650
"142","mitsui","12/8/2004","4:48:27",123651
"143","mitsui","12/8/2004","4:51:03",123652
"144","mitsui","12/8/2004","4:53:13",123653
"145","mitsui","12/8/2004","54:40.5",123654
"146","mitsui","12/8/2004","56:04.5",123655
"147","mitsui","12/8/2004","4:57:12",123656
"148","mitsui","12/8/2004","58:48.5",123657
"149","mitsui","12/8/2004","4:59:51",123658
"150","mitsui","12/8/2004","5:01:24",123659
"151","mitsui","12/8/2004","5:02:44",123660
"152","mitsui","12/8/2004","06:15.5",123661
"153","mitsui","12/8/2004","5:10:02",123662
"154","mitsui","12/8/2004","13:22.5",123663
"155","mitsui","12/8/2004","16:00.5",123664
"156","mitsui","12/8/2004","18:25.5",123665
"157","mitsui","12/8/2004","21:52.5",123666
"158","mitsui","12/8/2004","25:02.5",123667
"159","mitsui","12/8/2004","27:17.5",123668
"160","mitsui","12/8/2004","5:30:08",123669
"161","mitsui","12/8/2004","5:33:38",123670
"162","mitsui","12/8/2004","5:40:08",123671
"163","mitsui","12/8/2004","5:44:55",123672
"164","mitsui","12/8/2004","5:47:53",123673
"165","mitsui","12/8/2004","48:37.5",123674
"166","mitsui","12/8/2004","5:49:41",123675
"167","mitsui","12/8/2004","50:56.5",123676
"168","mitsui","12/8/2004","5:53:42",123677
