#,date,daily_events,in,mm
208,11/25/2006,0,0,0
209,11/26/2006,72,0.72,14.4
210,11/27/2006,18,0.18,3.6
211,11/28/2006,0,0,0
212,11/29/2006,0,0,0
213,11/30/2006,0,0,0
214,12/1/2006,0,0,0
215,12/2/2006,0,0,0
216,12/3/2006,0,0,0
217,12/4/2006,0,0,0
218,12/5/2006,0,0,0
219,12/6/2006,0,0,0
220,12/7/2006,0,0,0
221,12/8/2006,32,0.32,6.4
222,12/9/2006,79,0.79,15.8
223,12/10/2006,46,0.46,9.2
224,12/11/2006,90,0.9,18
225,12/12/2006,29,0.29,5.8
226,12/13/2006,20,0.2,4
227,12/14/2006,18,0.18,3.6
228,12/15/2006,10,0.1,2
229,12/16/2006,0,0,0
230,12/17/2006,1,0.01,0.2
231,12/18/2006,0,0,0
232,12/19/2006,0,0,0
233,12/20/2006,0,0,0
234,12/21/2006,84,0.84,16.8
235,12/22/2006,0,0,0
236,12/23/2006,0,0,0
237,12/24/2006,0,0,0
238,12/25/2006,0,0,0
239,12/26/2006,218,2.18,43.6
240,12/27/2006,14,0.14,2.8
241,12/28/2006,0,0,0
242,12/29/2006,0,0,0
243,12/30/2006,0,0,0
244,12/31/2006,0,0,0
245,1/1/2007,0,0,0
246,1/2/2007,0,0,0
247,1/3/2007,16,0.16,3.2
248,1/4/2007,11,0.11,2.2
249,1/5/2007,0,0,0
250,1/6/2007,0,0,0
251,1/7/2007,0,0,0
252,1/8/2007,0,0,0
253,1/9/2007,0,0,0
254,1/10/2007,0,0,0
255,1/11/2007,0,0,0
256,1/12/2007,0,0,0
257,1/13/2007,0,0,0
258,1/14/2007,0,0,0
259,1/15/2007,0,0,0
260,1/16/2007,0,0,0
261,1/17/2007,0,0,0
262,1/18/2007,0,0,0
263,1/19/2007,0,0,0
264,1/20/2007,0,0,0
265,1/21/2007,0,0,0
266,1/22/2007,0,0,0
267,1/23/2007,0,0,0
268,1/24/2007,0,0,0
269,1/25/2007,0,0,0
270,1/26/2007,10,0.1,2
271,1/27/2007,16,0.16,3.2
272,1/28/2007,0,0,0
273,1/29/2007,0,0,0
274,1/30/2007,0,0,0
275,1/31/2007,0,0,0
276,2/1/2007,0,0,0
277,2/2/2007,0,0,0
278,2/3/2007,0,0,0
279,2/4/2007,0,0,0
