"","id","year","month","day","hour","hourly_events","hourly_ppt"
"1","badger",2004,1,20,13,1,0.01
"2","badger",2004,1,23,21,2,0.02
"3","badger",2004,1,23,22,1,0.01
"4","badger",2004,1,24,0,2,0.02
"5","badger",2004,1,24,1,7,0.07
"6","badger",2004,1,24,2,1,0.01
"7","badger",2004,1,24,4,1,0.01
"8","badger",2004,1,26,18,1,0.01
"9","badger",2004,1,26,20,1,0.01
"10","badger",2004,1,26,21,1,0.01
"11","badger",2004,1,26,22,1,0.01
"12","badger",2004,1,26,23,1,0.01
"13","badger",2004,1,27,0,1,0.01
"14","badger",2004,1,27,1,2,0.02
"15","badger",2004,1,27,2,4,0.04
"16","badger",2004,1,27,3,6,0.06
"17","badger",2004,1,27,4,2,0.02
"18","badger",2004,1,27,5,7,0.07
"19","badger",2004,1,27,6,1,0.01
"20","badger",2004,1,27,7,2,0.02
"21","badger",2004,1,27,8,6,0.06
"22","badger",2004,1,27,9,4,0.04
"23","badger",2004,1,27,10,1,0.01
"24","badger",2004,1,27,11,2,0.02
"25","badger",2004,1,27,12,5,0.05
"26","badger",2004,1,27,13,2,0.02
"27","badger",2004,1,27,14,6,0.06
"28","badger",2004,1,27,17,3,0.03
"29","badger",2004,1,28,3,1,0.01
"30","badger",2004,1,30,2,1,0.01
"31","badger",2004,1,30,3,1,0.01
"32","badger",2004,1,30,5,3,0.03
"33","badger",2004,1,30,6,2,0.02
"34","badger",2004,2,1,6,2,0.02
"35","badger",2004,2,1,7,3,0.03
"36","badger",2004,2,1,8,3,0.03
"37","badger",2004,2,1,9,1,0.01
"38","badger",2004,2,1,10,4,0.04
"39","badger",2004,2,1,12,1,0.01
"40","badger",2004,2,2,3,1,0.01
"41","badger",2004,2,2,4,1,0.01
"42","badger",2004,2,2,5,5,0.05
"43","badger",2004,2,2,6,8,0.08
"44","badger",2004,2,2,7,18,0.18
"45","badger",2004,2,2,8,21,0.21
"46","badger",2004,2,2,9,20,0.2
"47","badger",2004,2,2,12,2,0.02
"48","badger",2004,2,2,14,2,0.02
"49","badger",2004,2,2,15,22,0.22
"50","badger",2004,2,2,16,1,0.01
"51","badger",2004,2,2,17,3,0.03
"52","badger",2004,2,2,19,4,0.04
"53","badger",2004,2,2,20,1,0.01
"54","badger",2004,2,2,22,9,0.09
"55","badger",2004,2,2,23,3,0.03
"56","badger",2004,2,3,0,5,0.05
"57","badger",2004,2,3,1,1,0.01
"58","badger",2004,2,3,2,1,0.01
"59","badger",2004,2,3,3,1,0.01
"60","badger",2004,2,3,4,3,0.03
"61","badger",2004,2,3,7,1,0.01
"62","badger",2004,2,6,17,7,0.07
"63","badger",2004,2,6,18,15,0.15
"64","badger",2004,2,7,0,1,0.01
"65","badger",2004,2,13,16,4,0.04
"66","badger",2004,2,13,17,1,0.01
"67","badger",2004,2,13,18,2,0.02
"68","badger",2004,2,13,20,1,0.01
"69","badger",2004,2,14,23,1,0.01
"70","badger",2004,2,15,16,1,0.01
"71","badger",2004,2,15,19,1,0.01
"72","badger",2004,2,15,20,1,0.01
"73","badger",2004,2,15,21,1,0.01
"74","badger",2004,2,16,0,5,0.05
"75","badger",2004,2,16,1,13,0.13
"76","badger",2004,2,16,2,23,0.23
"77","badger",2004,2,16,3,7,0.07
"78","badger",2004,2,16,4,9,0.09
"79","badger",2004,2,16,5,7,0.07
"80","badger",2004,2,16,6,3,0.03
"81","badger",2004,2,16,7,7,0.07
"82","badger",2004,2,16,8,36,0.36
"83","badger",2004,2,16,9,24,0.24
"84","badger",2004,2,16,10,32,0.32
"85","badger",2004,2,16,11,45,0.45
"86","badger",2004,2,16,12,71,0.71
"87","badger",2004,2,16,13,17,0.17
"88","badger",2004,2,16,14,8,0.08
"89","badger",2004,2,16,15,13,0.13
"90","badger",2004,2,16,16,9,0.09
"91","badger",2004,2,16,17,2,0.02
"92","badger",2004,2,16,18,3,0.03
"93","badger",2004,2,16,19,4,0.04
"94","badger",2004,2,16,20,5,0.05
"95","badger",2004,2,16,21,6,0.06
"96","badger",2004,2,16,22,2,0.02
"97","badger",2004,2,17,1,7,0.07
"98","badger",2004,2,17,2,9,0.09
"99","badger",2004,2,17,3,11,0.11
"100","badger",2004,2,17,4,10,0.1
"101","badger",2004,2,17,7,30,0.3
"102","badger",2004,2,17,8,12,0.12
"103","badger",2004,2,17,9,4,0.04
"104","badger",2004,2,17,10,3,0.03
"105","badger",2004,2,17,11,13,0.13
"106","badger",2004,2,17,12,10,0.1
"107","badger",2004,2,17,13,25,0.25
"108","badger",2004,2,17,14,19,0.19
"109","badger",2004,2,17,15,13,0.13
"110","badger",2004,2,17,16,10,0.1
"111","badger",2004,2,17,17,7,0.07
"112","badger",2004,2,17,18,7,0.07
"113","badger",2004,2,17,19,2,0.02
"114","badger",2004,2,17,20,8,0.08
"115","badger",2004,2,17,21,1,0.01
"116","badger",2004,2,17,22,5,0.05
"117","badger",2004,2,18,0,7,0.07
"118","badger",2004,2,18,1,9,0.09
"119","badger",2004,2,18,2,5,0.05
"120","badger",2004,2,20,6,1,0.01
"121","badger",2004,2,21,14,1,0.01
"122","badger",2004,2,22,0,2,0.02
"123","badger",2004,2,22,1,2,0.02
"124","badger",2004,2,22,2,4,0.04
"125","badger",2004,2,22,4,3,0.03
"126","badger",2004,2,22,5,2,0.02
"127","badger",2004,2,22,6,2,0.02
"128","badger",2004,2,22,7,3,0.03
"129","badger",2004,2,22,9,1,0.01
"130","badger",2004,2,22,16,10,0.1
"131","badger",2004,2,23,9,1,0.01
"132","badger",2004,2,24,0,2,0.02
"133","badger",2004,2,24,2,3,0.03
"134","badger",2004,2,24,3,1,0.01
"135","badger",2004,2,24,4,3,0.03
"136","badger",2004,2,24,5,2,0.02
"137","badger",2004,2,24,7,1,0.01
"138","badger",2004,2,25,1,1,0.01
"139","badger",2004,2,25,2,6,0.06
"140","badger",2004,2,25,3,27,0.27
"141","badger",2004,2,25,4,26,0.26
"142","badger",2004,2,25,5,29,0.29
"143","badger",2004,2,25,6,24,0.24
"144","badger",2004,2,25,7,62,0.62
"145","badger",2004,2,25,8,13,0.13
"146","badger",2004,2,25,9,5,0.05
"147","badger",2004,2,25,10,7,0.07
"148","badger",2004,2,25,18,4,0.04
"149","badger",2004,2,25,19,3,0.03
"150","badger",2004,2,25,20,8,0.08
"151","badger",2004,2,26,3,1,0.01
"152","badger",2004,2,26,4,2,0.02
"153","badger",2004,2,26,5,6,0.06
"154","badger",2004,2,26,6,7,0.07
"155","badger",2004,2,26,11,2,0.02
"156","badger",2004,2,26,12,20,0.2
"157","badger",2004,2,26,13,2,0.02
"158","badger",2004,2,26,20,1,0.01
"159","badger",2004,2,27,1,1,0.01
"160","badger",2004,2,27,3,2,0.02
"161","badger",2004,2,29,22,1,0.01
"162","badger",2004,2,29,23,2,0.02
"163","badger",2004,3,1,3,1,0.01
"164","badger",2004,3,1,4,2,0.02
"165","badger",2004,3,1,5,3,0.03
"166","badger",2004,3,1,6,10,0.1
"167","badger",2004,3,1,7,5,0.05
"168","badger",2004,3,1,8,7,0.07
"169","badger",2004,3,1,9,2,0.02
"170","badger",2004,3,1,17,7,0.07
"171","badger",2004,3,2,0,1,0.01
"172","badger",2004,3,25,11,1,0.01
"173","badger",2004,3,25,12,8,0.08
"174","badger",2004,3,25,13,12,0.12
"175","badger",2004,3,25,14,23,0.23
"176","badger",2004,3,25,15,25,0.25
"177","badger",2004,3,25,16,28,0.28
"178","badger",2004,3,26,8,2,0.02
"179","badger",2004,3,26,15,8,0.08
"180","badger",2004,3,26,21,5,0.05
"181","badger",2004,3,26,22,1,0.01
"182","badger",2004,3,26,23,2,0.02
"183","badger",2004,3,27,2,2,0.02
"184","badger",2004,3,27,3,1,0.01
"185","badger",2004,3,27,7,2,0.02
"186","badger",2004,4,15,5,1,0.01
"187","badger",2004,4,17,15,1,0.01
"188","badger",2004,4,18,10,1,0.01
"189","badger",2004,4,18,12,1,0.01
"190","badger",2004,4,18,13,4,0.04
"191","badger",2004,4,18,14,4,0.04
"192","badger",2004,4,18,15,2,0.02
