"","id","year","month","day","hour","hourly_events","hourly_ppt"
"1","sec",2006,4,15,15,1,0.01
"2","sec",2006,4,15,18,1,0.01
"3","sec",2006,4,15,19,1,0.01
"4","sec",2006,4,15,20,3,0.03
"5","sec",2006,4,15,22,3,0.03
"6","sec",2006,4,15,23,16,0.16
"7","sec",2006,4,16,0,3,0.03
"8","sec",2006,4,16,2,3,0.03
"9","sec",2006,4,16,3,4,0.04
"10","sec",2006,4,16,4,6,0.06
"11","sec",2006,4,16,5,8,0.08
"12","sec",2006,4,16,6,7,0.07
"13","sec",2006,4,16,7,8,0.08
"14","sec",2006,4,16,8,2,0.02
"15","sec",2006,4,16,10,1,0.01
"16","sec",2006,4,16,11,2,0.02
"17","sec",2006,4,16,15,2,0.02
"18","sec",2006,4,16,17,2,0.02
"19","sec",2006,4,16,19,1,0.01
"20","sec",2006,4,16,20,1,0.01
"21","sec",2006,4,16,23,1,0.01
"22","sec",2006,4,17,6,1,0.01
"23","sec",2006,4,18,20,1,0.01
"24","sec",2006,5,19,11,1,0.01
"25","sec",2006,5,19,13,3,0.03
"26","sec",2006,5,19,14,4,0.04
"27","sec",2006,5,19,15,1,0.01
"28","sec",2006,5,19,16,4,0.04
"29","sec",2006,5,19,17,4,0.04
"30","sec",2006,5,19,18,5,0.05
"31","sec",2006,5,19,19,3,0.03
"32","sec",2006,5,20,7,1,0.01
"33","sec",2006,5,21,6,1,0.01
"34","sec",2006,5,21,7,1,0.01
"35","sec",2006,5,21,14,2,0.02
"36","sec",2006,5,21,15,22,0.22
"37","sec",2006,5,21,16,9,0.09
"38","sec",2006,5,21,17,1,0.01
"39","sec",2006,5,21,20,2,0.02
"40","sec",2006,5,21,21,4,0.04
"41","sec",2006,5,21,22,2,0.02
"42","sec",2006,5,21,23,1,0.01
"43","sec",2006,5,22,0,1,0.01
"44","sec",2006,5,22,5,1,0.01
"45","sec",2006,5,23,5,1,0.01
"46","sec",2006,5,24,4,1,0.01
"47","sec",2006,5,24,5,3,0.03
"48","sec",2006,10,4,20,2,0.02
"49","sec",2006,10,4,21,4,0.04
"50","sec",2006,10,4,22,3,0.03
"51","sec",2006,10,4,23,6,0.06
"52","sec",2006,10,5,0,1,0.01
"53","sec",2006,10,5,4,1,0.01
"54","sec",2006,10,5,5,3,0.03
"55","sec",2006,10,5,6,3,0.03
"56","sec",2006,10,5,7,2,0.02
"57","sec",2006,10,5,8,1,0.01
"58","sec",2006,10,5,9,7,0.07
"59","sec",2006,10,5,10,7,0.07
"60","sec",2006,10,5,11,2,0.02
"61","sec",2006,10,5,12,1,0.01
"62","sec",2006,10,16,6,1,0.01
"63","sec",2006,11,1,23,1,0.01
"64","sec",2006,11,2,1,1,0.01
"65","sec",2006,11,2,2,7,0.07
"66","sec",2006,11,2,3,3,0.03
"67","sec",2006,11,2,5,1,0.01
"68","sec",2006,11,2,7,3,0.03
"69","sec",2006,11,2,8,6,0.06
"70","sec",2006,11,2,9,3,0.03
"71","sec",2006,11,2,10,5,0.05
"72","sec",2006,11,2,11,11,0.11
"73","sec",2006,11,2,12,1,0.01
"74","sec",2006,11,2,13,42,0.42
"75","sec",2006,11,2,14,19,0.19
"76","sec",2006,11,2,15,5,0.05
"77","sec",2006,11,2,20,1,0.01
"78","sec",2006,11,11,1,3,0.03
