"","id","year","month","day","daily_events","daily_ppt"
"1","sec",2006,4,15,25,0.25
"2","sec",2006,4,16,51,0.51
"3","sec",2006,4,17,1,0.01
"4","sec",2006,4,18,1,0.01
"5","sec",2006,5,19,25,0.25
"6","sec",2006,5,20,1,0.01
"7","sec",2006,5,21,45,0.45
"8","sec",2006,5,22,2,0.02
"9","sec",2006,5,23,1,0.01
"10","sec",2006,5,24,4,0.04
"11","sec",2006,10,4,15,0.15
"12","sec",2006,10,5,28,0.28
"13","sec",2006,10,16,1,0.01
"14","sec",2006,11,1,1,0.01
"15","sec",2006,11,2,108,1.08
"16","sec",2006,11,11,57,0.57
"17","sec",2006,11,12,9,0.09
"18","sec",2006,11,13,87,0.87
"19","sec",2006,11,15,1,0.01
"20","sec",2006,11,16,5,0.05
"21","sec",2006,11,17,1,0.01
"22","sec",2006,11,22,6,0.06
"23","sec",2006,11,23,1,0.01
"24","sec",2006,11,26,110,1.1
"25","sec",2006,11,27,3,0.03
"26","sec",2006,11,28,1,0.01
"27","sec",2006,12,8,64,0.64
"28","sec",2006,12,9,74,0.74
"29","sec",2006,12,10,35,0.35
"30","sec",2006,12,11,90,0.9
"31","sec",2006,12,12,42,0.42
"32","sec",2006,12,13,11,0.11
"33","sec",2006,12,14,11,0.11
"34","sec",2006,12,15,6,0.06
"35","sec",2006,12,21,98,0.98
"36","sec",2006,12,26,224,2.24
"37","sec",2006,12,27,27,0.27
"38","sec",2007,1,3,25,0.25
"39","sec",2007,1,4,8,0.08
"40","sec",2007,1,26,8,0.08
"41","sec",2007,1,27,14,0.14
"42","sec",2007,2,7,83,0.83
"43","sec",2007,2,8,159,1.59
"44","sec",2007,2,9,162,1.62
"45","sec",2007,2,10,140,1.4
"46","sec",2007,2,11,2,0.02
"47","sec",2007,2,12,41,0.41
"48","sec",2007,2,21,23,0.23
"49","sec",2007,2,22,86,0.86
"50","sec",2007,2,24,86,0.86
"51","sec",2007,2,25,23,0.23
"52","sec",2007,2,26,66,0.66
"53","sec",2007,2,27,50,0.5
"54","sec",2007,2,28,1,0.01
"55","sec",2007,3,26,47,0.47
"56","sec",2007,4,11,27,0.27
"57","sec",2007,4,14,16,0.16
"58","sec",2007,4,18,2,0.02
