"","id","year","month","day","hour","hourly_events","hourly_ppt"
"1","sugarloaf",2007,4,16,17,4,0.04
"2","sugarloaf",2007,4,19,18,2,0.02
"3","sugarloaf",2007,4,19,19,3,0.03
"4","sugarloaf",2007,4,19,20,7,0.07
"5","sugarloaf",2007,4,19,21,3,0.03
"6","sugarloaf",2007,4,19,22,1,0.01
"7","sugarloaf",2007,4,20,0,4,0.04
"8","sugarloaf",2007,4,20,1,10,0.1
"9","sugarloaf",2007,4,20,2,5,0.05
"10","sugarloaf",2007,4,20,3,3,0.03
"11","sugarloaf",2007,4,20,4,2,0.02
"12","sugarloaf",2007,4,21,12,1,0.01
"13","sugarloaf",2007,4,21,13,2,0.02
"14","sugarloaf",2007,4,21,14,3,0.03
"15","sugarloaf",2007,4,21,16,6,0.06
"16","sugarloaf",2007,4,21,17,11,0.11
"17","sugarloaf",2007,4,21,18,5,0.05
"18","sugarloaf",2007,4,21,19,6,0.06
"19","sugarloaf",2007,4,21,20,14,0.14
"20","sugarloaf",2007,4,21,21,10,0.1
"21","sugarloaf",2007,4,21,22,12,0.12
"22","sugarloaf",2007,4,21,23,27,0.27
"23","sugarloaf",2007,4,22,0,23,0.23
"24","sugarloaf",2007,4,22,1,19,0.19
"25","sugarloaf",2007,4,22,2,4,0.04
"26","sugarloaf",2007,4,22,3,3,0.03
"27","sugarloaf",2007,4,22,6,1,0.01
"28","sugarloaf",2007,4,22,10,7,0.07
"29","sugarloaf",2007,4,22,15,12,0.12
"30","sugarloaf",2007,4,22,16,1,0.01
"31","sugarloaf",2007,5,1,23,4,0.04
"32","sugarloaf",2007,5,2,0,3,0.03
"33","sugarloaf",2007,5,2,2,2,0.02
"34","sugarloaf",2007,5,2,4,25,0.25
"35","sugarloaf",2007,5,2,5,6,0.06
"36","sugarloaf",2007,5,2,6,1,0.01
"37","sugarloaf",2007,5,2,7,2,0.02
"38","sugarloaf",2007,5,2,11,2,0.02
"39","sugarloaf",2007,5,3,19,2,0.02
"40","sugarloaf",2007,5,3,20,1,0.01
"41","sugarloaf",2007,5,3,21,2,0.02
"42","sugarloaf",2007,5,3,22,3,0.03
"43","sugarloaf",2007,5,3,23,4,0.04
"44","sugarloaf",2007,5,4,0,2,0.02
"45","sugarloaf",2007,5,4,1,3,0.03
"46","sugarloaf",2007,5,4,2,5,0.05
"47","sugarloaf",2007,5,4,3,2,0.02
"48","sugarloaf",2007,5,4,4,2,0.02
"49","sugarloaf",2007,5,4,5,1,0.01
"50","sugarloaf",2007,7,11,4,1,0.01
"51","sugarloaf",2007,7,18,2,1,0.01
"52","sugarloaf",2007,7,18,3,2,0.02
"53","sugarloaf",2007,7,18,4,7,0.07
"54","sugarloaf",2007,7,18,5,2,0.02
"55","sugarloaf",2007,7,18,6,1,0.01
